Divisiones de actividad;Total Nacional;Comunidades y Ciudades Autónomas;Valor absoluto/porcentaje;periodo;Total
12 Tabaco;Total Nacional;04 Balears Illes;porcentaje;2021-01-01 00:00:00+00:00;0.0
12 Tabaco;Total Nacional;05 Canarias;valor absoluto;2022-01-01 00:00:00+00:00;169593
12 Tabaco;Total Nacional;05 Canarias;valor absoluto;2021-01-01 00:00:00+00:00;171018
12 Tabaco;Total Nacional;05 Canarias;porcentaje;2022-01-01 00:00:00+00:00;58.1
12 Tabaco;Total Nacional;05 Canarias;porcentaje;2021-01-01 00:00:00+00:00;59.7
12 Tabaco;Total Nacional;06 Cantabria;valor absoluto;2022-01-01 00:00:00+00:00;0.0
12 Tabaco;Total Nacional;06 Cantabria;valor absoluto;2021-01-01 00:00:00+00:00;0
12 Tabaco;Total Nacional;06 Cantabria;porcentaje;2022-01-01 00:00:00+00:00;0.0
12 Tabaco;Total Nacional;06 Cantabria;porcentaje;2021-01-01 00:00:00+00:00;0.0
12 Tabaco;Total Nacional;07 Castilla y León;valor absoluto;2022-01-01 00:00:00+00:00;0
12 Tabaco;Total Nacional;07 Castilla y León;valor absoluto;2021-01-01 00:00:00+00:00;0
12 Tabaco;Total Nacional;07 Castilla y León;porcentaje;2022-01-01 00:00:00+00:00;0.0
12 Tabaco;Total Nacional;07 Castilla y León;porcentaje;2021-01-01 00:00:00+00:00;0.0
12 Tabaco;Total Nacional;08 Castilla - La Mancha;valor absoluto;2022-01-01 00:00:00+00:00;0
12 Tabaco;Total Nacional;08 Castilla - La Mancha;valor absoluto;2021-01-01 00:00:00+00:00;0
12 Tabaco;Total Nacional;08 Castilla - La Mancha;porcentaje;2022-01-01 00:00:00+00:00;0.0
12 Tabaco;Total Nacional;08 Castilla - La Mancha;porcentaje;2021-01-01 00:00:00+00:00;0.0
12 Tabaco;Total Nacional;09 Cataluña;valor absoluto;2022-01-01 00:00:00+00:00;0
12 Tabaco;Total Nacional;09 Cataluña;valor absoluto;2021-01-01 00:00:00+00:00;0
12 Tabaco;Total Nacional;09 Cataluña;porcentaje;2022-01-01 00:00:00+00:00;0.0
