Divisiones de actividad;Total Nacional;Comunidades y Ciudades Autónomas;Valor absoluto/porcentaje;periodo;Total
14 Confección de prendas de vestir;Total Nacional;02 Aragón;valor absoluto;2021;65780
14 Confección de prendas de vestir;Total Nacional;02 Aragón;porcentaje;2022;1.8
14 Confección de prendas de vestir;Total Nacional;02 Aragón;porcentaje;2021;2.1
14 Confección de prendas de vestir;Total Nacional;03 Asturias Principado de;valor absoluto;2022;16306
14 Confección de prendas de vestir;Total Nacional;03 Asturias Principado de;valor absoluto;2021;12723
14 Confección de prendas de vestir;Total Nacional;03 Asturias Principado de;porcentaje;2022;0.5
14 Confección de prendas de vestir;Total Nacional;03 Asturias Principado de;porcentaje;2021;0.4
14 Confección de prendas de vestir;Total Nacional;04 Balears Illes;valor absoluto;2022;9815
14 Confección de prendas de vestir;Total Nacional;04 Balears Illes;valor absoluto;2021;8522
14 Confección de prendas de vestir;Total Nacional;04 Balears Illes;porcentaje;2022;0.3
14 Confección de prendas de vestir;Total Nacional;04 Balears Illes;porcentaje;2021;0.3
14 Confección de prendas de vestir;Total Nacional;05 Canarias;valor absoluto;2022;4809
14 Confección de prendas de vestir;Total Nacional;05 Canarias;valor absoluto;2021;0.0
14 Confección de prendas de vestir;Total Nacional;05 Canarias;porcentaje;2022;0.1
14 Confección de prendas de vestir;Total Nacional;05 Canarias;porcentaje;2021;0.0
14 Confección de prendas de vestir;Total Nacional;06 Cantabria;valor absoluto;2022;7501
14 Confección de prendas de vestir;Total Nacional;06 Cantabria;valor absoluto;2021;0.0
14 Confección de prendas de vestir;Total Nacional;06 Cantabria;porcentaje;2022;0.2
14 Confección de prendas de vestir;Total Nacional;06 Cantabria;porcentaje;2021;0.0
14 Confección de prendas de vestir;Total Nacional;07 Castilla y León;valor absoluto;2022;42196
14 Confección de prendas de vestir;Total Nacional;07 Castilla y León;valor absoluto;2021;32759
14 Confección de prendas de vestir;Total Nacional;07 Castilla y León;porcentaje;2022;1.2
14 Confección de prendas de vestir;Total Nacional;07 Castilla y León;porcentaje;2021;1.1
14 Confección de prendas de vestir;Total Nacional;08 Castilla - La Mancha;valor absoluto;2022;122237
14 Confección de prendas de vestir;Total Nacional;08 Castilla - La Mancha;valor absoluto;2021;122682
14 Confección de prendas de vestir;Total Nacional;08 Castilla - La Mancha;porcentaje;2022;3.4
14 Confección de prendas de vestir;Total Nacional;08 Castilla - La Mancha;porcentaje;2021;4.0
14 Confección de prendas de vestir;Total Nacional;09 Cataluña;valor absoluto;2022;785482
14 Confección de prendas de vestir;Total Nacional;09 Cataluña;valor absoluto;2021;770310
14 Confección de prendas de vestir;Total Nacional;09 Cataluña;porcentaje;2022;21.8
14 Confección de prendas de vestir;Total Nacional;09 Cataluña;porcentaje;2021;25.1
14 Confección de prendas de vestir;Total Nacional;10 Comunitat Valenciana;valor absoluto;2022;274227
