iter	Passed	Remaining
924	86404	7005
925	86501	6912
926	86600	6819
927	86698	6726
928	86793	6633
929	86890	6540
930	86988	6447
931	87086	6353
932	87185	6260
933	87285	6167
934	87381	6074
935	87476	5981
936	87573	5888
937	87671	5794
938	87771	5701
939	87867	5608
940	87963	5515
941	88062	5422
942	88160	5328
943	88256	5235
944	88352	5142
945	88450	5048
946	88544	4955
947	88642	4862
948	88742	4769
949	88838	4675
950	88936	4582
951	89034	4489
952	89133	4395
953	89230	4302
954	89328	4209
955	89426	4115
956	89522	4022
957	89619	3929
958	89717	3835
959	89812	3742
960	89908	3648
961	90003	3555
962	90101	3461
963	90196	3368
964	90294	3274
965	90393	3181
966	90490	3088
967	90588	2994
968	90687	2901
969	90786	2807
970	90885	2714
971	90982	2620
972	91084	2527
973	91183	2434
974	91279	2340
975	91377	2246
976	91475	2153
977	91571	2059
978	91671	1966
979	91769	1872
980	91870	1779
981	91965	1685
982	92060	1592
983	92159	1498
984	92256	1404
985	92351	1311
986	92448	1217
987	92544	1124
988	92644	1030
989	92741	936
990	92838	843
991	92933	749
992	93027	655
993	93121	562
994	93219	468
995	93317	374
996	93412	281
997	93511	187
998	93611	93
999	93705	0
